# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6912
#@/user_id	aae06e7b-1c87-4f88-82f7-00d22f8468fb
a 	啊	c=11 d=0.0676654 t=6912
bi ye hou 	畢業後	c=1 d=1.14216e-05 t=6912
bi ye sheng 	畢業生	c=2 d=1.97238e-11 t=6912
bi ye zheng 	畢業證	c=2 d=0.000160054 t=6912
bian cheng 	編程	c=3 d=0.0327837 t=6912
bian cheng ren yuan fei chang nan shou 	編程人員非常難受	c=1 d=0.163654 t=6912
bian cheng xing 	編程性	c=1 d=0.158817 t=6912
bian cheng yu yan 	編程語言	c=1 d=7.95075e-09 t=6912
bian de 	變的	c=0 d=4.16156e-05 t=6912
bian hua 	變化	c=1 d=1.71245e-05 t=6912
bian jie 	邊界	c=0 d=1.74402e-15 t=6912
bian liang 	變量	c=6 d=3.7456e-09 t=6912
bian liang de 	變量的	c=1 d=5.29017e-10 t=6912
bian ma 	編碼	c=3 d=1.8899e-14 t=6912
bian wei 	變爲	c=1 d=1.76979e-08 t=6912
bian yi 	便宜	c=1 d=1.51226e-13 t=6912
bian yi 	編譯	c=12 d=2.0444e-09 t=6912
bian yi qi 	編譯器	c=2 d=3.57593e-07 t=6912
bian yi qi hui 	編譯器會	c=1 d=3.5449e-06 t=6912
bian yi wan 	編譯完	c=1 d=2.91132e-13 t=6912
biao 	表	c=0 d=1.21105e-09 t=6912
biao da 	表達	c=1 d=0.155673 t=6912
biao da shi 	表達式	c=11 d=4.97214e-06 t=6912
biao da shi de 	表達式的	c=1 d=2.52316e-06 t=6912
biao da shi shi 	表達式時	c=1 d=3.08284e-10 t=6912
biao da wo de 	表達我的	c=1 d=2.05192e-15 t=6912
biao ge 	表格	c=2 d=2.01372e-11 t=6912
biao ji 	標記	c=1 d=1.21676e-14 t=6912
biao ming 	表明	c=2 d=6.77579e-09 t=6912
biao shi 	表示	c=10 d=0.0837474 t=6912
biao shi fu 	標識符	c=1 d=1.18695e-07 t=6912
biao shi yi ge 	表示一個	c=2 d=3.91509e-08 t=6912
biao zhi 	標誌	c=0 d=0.0120633 t=6912
biao zhi xin xi 	標誌信息	c=1 d=0.121238 t=6912
biao zhun 	標準	c=2 d=0.132489 t=6912
biao zhun de 	標準的	c=1 d=4.77683e-15 t=6912
biao zhun ku 	標準庫	c=1 d=6.85538e-07 t=6912
biao zhun ku nei de 	標準庫內的	c=1 d=3.25604e-06 t=6912
biao zhun ku zhong 	標準庫中	c=1 d=3.06642e-06 t=6912
bie ming 	別名	c=2 d=2.55983e-07 t=6912
bing 	並	c=2 d=8.70528e-06 t=6912
bing bu 	並不	c=0 d=0.000310451 t=6912
bing bu hui 	並不會	c=0 d=0.000263203 t=6912
bing bu jian rong 	並不兼容	c=1 d=2.66672e-10 t=6912
bing bu shi 	並不是	c=2 d=9.8596e-05 t=6912
bing bu xian ding 	並不限定	c=1 d=0.00311976 t=6912
bing bu ying xiang 	並不影響	c=1 d=3.19982e-07 t=6912
bing chu li 	並處理	c=1 d=1.20674e-05 t=6912
bing fei 	並非	c=0 d=4.17075e-08 t=6912
bing mei you 	並沒有	c=2 d=0.481947 t=6912
bing mei you chu xian 	並沒有出現	c=1 d=0.0485578 t=6912
bing qie 	並且	c=20 d=1.49466 t=6912
bing qie jiang 	並且將	c=1 d=1.82336e-08 t=6912
bing qie ke yi zheng ming 	並且可以證明	c=1 d=0.00115923 t=6912
bing qie shi 	並且是	c=2 d=4.68222e-06 t=6912
bing qie ta shi 	並且他是	c=1 d=1.28801e-07 t=6912
bing qie ti gong 	並且提供	c=1 d=0.147342 t=6912
bing qie yao gei shi xian zhe 	並且要給實現者	c=1 d=0.142274 t=6912
bing qie yi huo de 	並且已獲得	c=1 d=3.43125e-05 t=6912
bing qie you 	並且有	c=0 d=4.0169e-07 t=6912
bing qie you xiang tong de 	並且有相同的	c=1 d=4.03704e-06 t=6912
bing wei 	並未	c=0 d=4.14064e-11 t=6912
bing wei bei shi yong 	並未被使用	c=1 d=4.1614e-10 t=6912
bing xing 	並行	c=1 d=0.00333999 t=6912
bing xing de 	並行的	c=1 d=0.00130051 t=6912
bing xing fa chu ma 	並行發出嗎	c=1 d=0.0026189 t=6912
bo 	波	c=1 d=8.89973e-12 t=6912
bu 	不	c=5 d=0.0746284 t=6912
bu 	步	c=1 d=2.40754e-13 t=6912
bu an quan 	不安全	c=1 d=3.29671e-05 t=6912
bu bian 	不變	c=1 d=1.82398e-12 t=6912
bu chong 	補充	c=0 d=0.000122477 t=6912
bu chong tu 	不衝突	c=1 d=0.00166672 t=6912
bu chong tu de 	補充突的	c=1 d=0.00123091 t=6912
bu da 	不大	c=1 d=2.67408e-13 t=6912
bu duan 	不斷	c=2 d=6.57191e-11 t=6912
bu dui 	不對	c=2 d=7.66745e-11 t=6912
bu duo de 	不多的	c=1 d=8.48616e-11 t=6912
